cart_id,user_id,product_id,quantity
1,23,39,4
2,55,54,2
3,32,29,3
4,28,63,1
5,25,44,4
6,47,22,4
7,59,17,1
8,59,51,1
9,6,55,2
10,56,60,2
11,4,34,4
12,21,28,4
13,21,44,4
14,18,54,3
15,54,11,4
16,2,7,3
17,15,9,1
18,49,4,2
19,13,3,2
20,16,17,4
21,43,15,2
22,30,33,3
23,11,15,2
24,20,14,1
25,60,40,4
26,26,26,1
27,38,32,1
28,45,39,1
29,51,6,3
30,35,55,3
31,5,44,1
32,53,63,1
33,28,47,4
34,46,20,4
35,12,35,4
36,30,56,3
37,21,32,1
38,18,58,2
39,49,60,4
40,22,4,4
41,55,42,2
42,32,28,3
43,52,34,3
44,18,36,1
45,34,25,1
46,16,53,4
47,36,31,4
48,42,63,4
49,51,3,1
50,19,29,4
51,45,32,3
52,43,48,4
53,36,45,4
54,48,43,3
55,45,59,3
