item_id,order_id,product_id,quantity,price
1,58,14,1,2200
2,58,18,1,1200
3,58,34,5,2200
4,13,35,3,1800
5,43,27,5,18000
6,43,44,4,1500
7,43,34,3,2200
8,24,12,4,5500
9,35,6,3,4500
10,35,1,2,45000
11,29,34,5,2200
12,29,21,4,1400
13,29,57,5,950
14,45,15,1,2500
15,51,20,5,1100
16,51,5,5,2200
17,51,48,2,1200
18,23,17,3,800
19,23,6,3,4500
20,59,46,2,4200
21,69,32,5,22000
22,69,14,4,2200
23,69,46,5,4200
24,31,20,2,1100
25,31,31,4,12000
26,31,21,1,1400
27,2,43,4,2200
28,54,32,1,22000
29,54,35,4,1800
30,54,21,1,1400
31,30,29,4,4200
32,30,26,3,28000
33,32,30,1,2800
34,32,29,2,4200
35,67,43,1,2200
36,67,36,3,8500
37,18,52,1,950
38,18,43,1,2200
39,61,23,1,1800
40,61,34,1,2200
41,63,56,4,1100
42,63,45,5,1800
43,63,41,5,3500
44,19,50,5,4500
45,20,33,1,4500
46,73,56,3,1100
47,73,1,4,45000
48,73,26,1,28000
49,1,43,3,2200
50,1,41,5,3500
51,1,16,3,3200
52,46,53,3,1800
53,46,42,5,2800
54,46,52,2,950
55,75,54,4,1400
56,11,23,5,1800
57,11,39,1,1200
58,11,52,3,950
59,15,27,5,18000
60,15,56,5,1100
61,10,42,4,2800
62,10,60,2,380
63,10,57,5,950
64,36,22,3,1600
65,36,11,5,900
66,22,43,3,2200
67,22,12,2,5500
68,22,31,2,12000
69,9,4,1,8500
70,52,61,5,195000
71,42,59,4,450
72,49,25,4,6500
73,49,50,2,4500
74,49,64,2,38000
75,47,1,2,45000
76,47,14,2,2200
77,47,55,5,650
78,14,7,1,12000
79,14,32,4,22000
80,17,60,5,380
81,64,41,5,3500
82,64,57,4,950
83,64,55,2,650
84,34,61,2,195000
85,34,58,3,600
86,34,34,5,2200
87,50,31,4,12000
88,50,36,1,8500
89,48,37,3,1500
90,48,31,3,12000
91,48,35,5,1800
92,27,18,2,1200
93,60,50,2,4500
94,40,28,4,3500
95,40,9,3,1200
96,40,54,5,1400
97,3,54,2,1400
98,3,8,4,6500
99,56,3,4,3500
100,56,49,1,680
